año,mes,codigo_linea,linea,viajeros_total,creditrans,gizatrans,gazte_70,goro,ocasional,familia_numerosa,menores_6,empresa,fecha,flag_covid,flag_subsidio
2021,5,A3916,BILBAO - ERMUA - ONDARROA (Autopista),23245.0,16880.0,2396.0,1158.0,315.0,1337.0,1.0,253.0,42.0,2021-05-01,1,0
2021,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),24204.0,17547.0,3037.0,534.0,179.0,1695.0,4.0,307.0,51.0,2021-06-01,1,0
2021,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),23318.0,16117.0,3548.0,298.0,82.0,2087.0,1.0,380.0,41.0,2021-07-01,1,0
2021,8,A3916,BILBAO - ERMUA - ONDARROA (Autopista),20015.0,13143.0,3573.0,143.0,64.0,2064.0,7.0,405.0,47.0,2021-08-01,1,0
2021,9,A3916,BILBAO - ERMUA - ONDARROA (Autopista),25080.0,17135.0,3269.0,1134.0,284.0,1973.0,1.0,250.0,55.0,2021-09-01,1,0
2021,10,A3916,BILBAO - ERMUA - ONDARROA (Autopista),26917.0,17959.0,3225.0,1857.0,492.0,1914.0,8.0,227.0,71.0,2021-10-01,1,0
2021,11,A3916,BILBAO - ERMUA - ONDARROA (Autopista),26236.0,17404.0,2727.0,2023.0,627.0,1920.0,4.0,217.0,71.0,2021-11-01,1,0
2021,12,A3916,BILBAO - ERMUA - ONDARROA (Autopista),22968.0,15902.0,2632.0,939.0,248.0,1894.0,8.0,261.0,72.0,2021-12-01,1,0
2022,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),21598.0,14917.0,2490.0,954.0,337.0,1676.0,5.0,237.0,68.0,2022-01-01,0,0
2022,2,A3916,BILBAO - ERMUA - ONDARROA (Autopista),24495.0,16237.0,2878.0,1614.0,500.0,1768.0,5.0,209.0,78.0,2022-02-01,0,0
2022,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),29154.0,19597.0,3441.0,1843.0,558.0,2040.0,10.0,263.0,104.0,2022-03-01,0,0
2022,4,A3916,BILBAO - ERMUA - ONDARROA (Autopista),25386.0,17144.0,3307.0,1157.0,302.0,2153.0,3.0,242.0,79.0,2022-04-01,0,0
2022,5,A3916,BILBAO - ERMUA - ONDARROA (Autopista),30399.0,20382.0,3876.0,1590.0,321.0,2560.0,8.0,336.0,119.0,2022-05-01,0,0
2022,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),29386.0,20497.0,4046.0,716.0,137.0,2658.0,6.0,329.0,86.0,2022-06-01,0,0
2022,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),28958.0,19359.0,4488.0,304.0,90.0,3220.0,7.0,519.0,102.0,2022-07-01,0,0
2022,8,A3916,BILBAO - ERMUA - ONDARROA (Autopista),25260.0,16564.0,4202.0,90.0,69.0,3127.0,6.0,415.0,92.0,2022-08-01,0,0
2022,9,A3916,BILBAO - ERMUA - ONDARROA (Autopista),30910.0,21244.0,3941.0,1198.0,671.0,2020.0,1.0,297.0,109.0,2022-09-01,0,1
2022,10,A3916,BILBAO - ERMUA - ONDARROA (Autopista),32276.0,22126.0,4058.0,1519.0,964.0,1736.0,4.0,267.0,147.0,2022-10-01,0,1
2022,11,A3916,BILBAO - ERMUA - ONDARROA (Autopista),28584.0,19638.0,3555.0,1445.0,927.0,1405.0,1.0,247.0,140.0,2022-11-01,0,1
2022,12,A3916,BILBAO - ERMUA - ONDARROA (Autopista),27449.0,19572.0,3367.0,881.0,515.0,1516.0,3.0,381.0,113.0,2022-12-01,0,1
2023,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),21668.0,15865.0,2497.0,685.0,408.0,1016.0,1.0,235.0,140.0,2023-01-01,0,1
2023,2,A3916,BILBAO - ERMUA - ONDARROA (Autopista),23000.0,16512.0,2760.0,1008.0,552.0,1040.0,3.0,219.0,125.0,2023-02-01,0,1
2023,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),26852.0,19363.0,3176.0,1149.0,667.0,1176.0,0.0,265.0,119.0,2023-03-01,0,1
2023,4,A3916,BILBAO - ERMUA - ONDARROA (Autopista),28868.0,20811.0,3629.0,899.0,443.0,1652.0,5.0,419.0,119.0,2023-04-01,0,1
2023,5,A3916,BILBAO - ERMUA - ONDARROA (Autopista),34318.0,24892.0,4122.0,1119.0,618.0,1870.0,1.0,357.0,141.0,2023-05-01,0,1
2023,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),33572.0,25003.0,4484.0,465.0,329.0,1684.0,7.0,421.0,157.0,2023-06-01,0,1
2023,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),33545.0,24336.0,4754.0,231.0,72.0,2497.0,1.0,585.0,132.0,2023-07-01,0,1
2023,8,A3916,BILBAO - ERMUA - ONDARROA (Autopista),29004.0,20664.0,4215.0,155.0,85.0,2255.0,9.0,628.0,114.0,2023-08-01,0,1
2023,9,A3916,BILBAO - ERMUA - ONDARROA (Autopista),36311.0,25799.0,4421.0,1485.0,860.0,1803.0,10.0,422.0,101.0,2023-09-01,0,1
2023,10,A3916,BILBAO - ERMUA - ONDARROA (Autopista),39170.0,27590.0,4508.0,1933.0,1184.0,1803.0,1.0,421.0,105.0,2023-10-01,0,1
2023,11,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37313.0,26587.0,4109.0,1857.0,1197.0,1579.0,2.0,348.0,108.0,2023-11-01,0,1
2023,12,A3916,BILBAO - ERMUA - ONDARROA (Autopista),35269.0,26007.0,4188.0,927.0,660.0,1708.0,9.0,446.0,115.0,2023-12-01,0,1
2024,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),34.25,23.322,4.306,1.351,743.0,1.529,3.0,327.0,88.0,2024-01-01,0,1
2024,2,A3916,BILBAO - ERMUA - ONDARROA (Autopista),35400.0,24655.0,3961.0,1623.0,958.0,1410.0,0.0,393.0,77.0,2024-02-01,0,1
2024,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),36580.0,25264.0,4302.0,1457.0,1002.0,1533.0,2.0,397.0,91.0,2024-03-01,0,1
2024,4,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37878.0,26007.0,4523.0,1398.0,900.0,1633.0,2.0,468.0,103.0,2024-04-01,0,1
2024,5,A3916,BILBAO - ERMUA - ONDARROA (Autopista),39840.0,27484.0,4628.0,1194.0,962.0,1851.0,8.0,362.0,131.0,2024-05-01,0,1
2024,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37578.0,26709.0,4816.0,720.0,376.0,1735.0,4.0,414.0,104.0,2024-06-01,0,1
2024,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),39165.0,27535.0,5238.0,649.0,585.0,2192.0,10.0,663.0,104.0,2024-07-01,0,1
2024,8,A3916,BILBAO - ERMUA - ONDARROA (Autopista),33648.0,23355.0,5396.0,219.0,88.0,2257.0,4.0,608.0,103.0,2024-08-01,0,1
2024,9,A3916,BILBAO - ERMUA - ONDARROA (Autopista),38799.0,26184.0,4559.0,1455.0,970.0,1786.0,3.0,406.0,85.0,2024-09-01,0,1
2024,10,A3916,BILBAO - ERMUA - ONDARROA (Autopista),42622.0,28133.0,5013.0,1989.0,1662.0,1770.0,1.0,394.0,96.0,2024-10-01,0,1
2024,11,A3916,BILBAO - ERMUA - ONDARROA (Autopista),40566.0,26103.0,5006.0,1860.0,1539.0,1585.0,2.0,388.0,109.0,2024-11-01,0,1
2024,12,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37560.0,25714.0,4519.0,1278.0,865.0,1538.0,4.0,426.0,111.0,2024-12-01,0,1
2025,1,A3916,BILBAO - ERMUA - ONDARROA (Autopista),33995.0,22826.0,4242.0,1026.0,944.0,1325.0,4.0,362.0,123.0,2025-01-01,0,1
2025,2,A3916,BILBAO - ERMUA - ONDARROA (Autopista),42521.0,28165.0,4884.0,1812.0,1545.0,1247.0,11.0,351.0,109.0,2025-02-01,0,1
2025,3,A3916,BILBAO - ERMUA - ONDARROA (Autopista),41794.0,28004.0,4802.0,1572.0,1443.0,1485.0,0.0,388.0,153.0,2025-03-01,0,1
2025,4,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37919.0,26156.0,4642.0,1163.0,1035.0,1372.0,1.0,444.0,120.0,2025-04-01,0,1
2025,5,A3916,BILBAO - ERMUA - ONDARROA (Autopista),43541.0,30093.0,5339.0,1252.0,1023.0,1559.0,1.0,412.0,138.0,2025-05-01,0,1
2025,6,A3916,BILBAO - ERMUA - ONDARROA (Autopista),44038.0,31024.0,5781.0,842.0,568.0,1653.0,4.0,515.0,115.0,2025-06-01,0,1
2025,7,A3916,BILBAO - ERMUA - ONDARROA (Autopista),42823.0,30426.0,5657.0,521.0,383.0,2097.0,2.0,688.0,135.0,2025-07-01,0,1
2025,8,A3916,BILBAO - ERMUA - ONDARROA (Autopista),37226.0,26630.0,5611.0,240.0,111.0,1923.0,3.0,745.0,168.0,2025-08-01,0,1
2025,9,A3916,BILBAO - ERMUA - ONDARROA (Autopista),43863.0,29648.0,5446.0,1538.0,850.0,1640.0,5.0,408.0,120.0,2025-09-01,0,1
2025,10,A3916,BILBAO - ERMUA - ONDARROA (Autopista),45705.0,29972.0,5503.0,1955.0,1323.0,1402.0,2.0,404.0,145.0,2025-10-01,0,1
2025,11,A3916,BILBAO - ERMUA - ONDARROA (Autopista),42351.0,28564.0,4980.0,1698.0,1122.0,1087.0,1.0,418.0,139.0,2025-11-01,0,1
2025,12,A3916,BILBAO - ERMUA - ONDARROA (Autopista),40305.0,28192.0,5016.0,1311.0,779.0,1207.0,1.0,486.0,114.0,2025-12-01,0,1
2020,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5172.0,2763.0,1272.0,128.0,79.0,339.0,0.0,101.0,280.0,2020-01-01,1,0
2020,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),5041.0,2645.0,1298.0,105.0,60.0,378.0,0.0,106.0,213.0,2020-02-01,1,0
2020,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2630.0,1548.0,544.0,66.0,41.0,166.0,0.0,33.0,104.0,2020-03-01,1,0
2020,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),423.0,301.0,53.0,13.0,1.0,0.0,0.0,0.0,2.0,2020-04-01,1,0
2020,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),1544.0,1130.0,259.0,54.0,7.0,0.0,0.0,3.0,8.0,2020-05-01,1,0
2020,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3276.0,2207.0,663.0,108.0,15.0,0.0,0.0,36.0,138.0,2020-06-01,1,0
2020,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3644.0,2548.0,695.0,79.0,54.0,0.0,0.0,41.0,119.0,2020-07-01,1,0
2020,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2580.0,1745.0,551.0,52.0,38.0,0.0,0.0,40.0,90.0,2020-08-01,1,0
2020,9,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3588.0,2402.0,723.0,129.0,44.0,0.0,0.0,60.0,120.0,2020-09-01,1,0
2020,10,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3792.0,2493.0,745.0,107.0,94.0,0.0,0.0,44.0,168.0,2020-10-01,1,0
2020,11,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3403.0,2281.0,619.0,131.0,61.0,0.0,0.0,31.0,102.0,2020-11-01,1,0
2020,12,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3612.0,2402.0,641.0,139.0,54.0,13.0,0.0,38.0,153.0,2020-12-01,1,0
2021,1,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3568.0,2293.0,614.0,187.0,46.0,71.0,0.0,75.0,128.0,2021-01-01,1,0
2021,2,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3208.0,2074.0,598.0,104.0,35.0,66.0,0.0,64.0,133.0,2021-02-01,1,0
2021,3,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4118.0,2476.0,824.0,219.0,95.0,114.0,0.0,72.0,178.0,2021-03-01,1,0
2021,4,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3975.0,2284.0,807.0,247.0,87.0,140.0,1.0,71.0,166.0,2021-04-01,1,0
2021,5,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4371.0,2496.0,884.0,271.0,133.0,171.0,0.0,79.0,169.0,2021-05-01,1,0
2021,6,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4793.0,2830.0,956.0,235.0,124.0,224.0,0.0,90.0,163.0,2021-06-01,1,0
2021,7,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),4135.0,2513.0,908.0,158.0,56.0,219.0,0.0,86.0,128.0,2021-07-01,1,0
2021,8,A3632,BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),3094.0,1791.0,754.0,68.0,36.0,187.0,0.0,82.0,109.0,2021-08-01,1,0
