linea,mae,rmse,mape
BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,4221.655182977479,4768.431538259312,9.454176192072214
BILBAO - Hospital Santa Marina Ospitalea,5.6234745406829046e-05,0.0001649645606665972,5623474.540682904
BILBAO - LEKEITIO (Autopista),4392.404063335731,5310.083997606883,10.439331847643153
BILBAO - LEMOA - OTXANDIO - UBIDE,2568.784749515513,3147.540953424817,9.110562567060342
BILBAO - LEMOA - ZEANURI (Autopista),2054.219673797747,2380.71138480755,13.370436520922164
BILBAO - MUNGIA (Por autopista/tik),3309.7789736121445,4078.2819140484094,31.427459230443695
BILBAO - MUNGIA - BAKIO (Por la autopista/tik),3542.745682332563,4283.960977168977,5.177508839094112
BILBAO - MUNGIA - BERMEO (Por la autopista/tik),10189.339922263074,10908.267161285426,11.160785584718353
BILBAO - MUSKIZ,3854.6867418621678,6945.977394655681,4.356864481599624
BILBAO - SANTURTZI,6413.067063726191,7863.540957647595,9.317754270161684
BILBAO - SANTURTZI  - PORTUGALETE (Autopista),2187.347255212788,3158.229419655303,8.883517761459776
BILBAO - SESTAO - Errepelega/Repelega,1912.6026980715833,2507.8173602865236,7.498308410627639
BILBAO - Sodupe - ARTZINIEGA,2380.5300305420546,2617.658923900789,7.129443274374288
BILBAO - Sodupe - Arespalditza Respaldiza,491.60520190913144,581.7578673912785,7.906851496032115
BILBAO - Sodupe - GORDEXOLA,494.9277200373581,668.8913130951638,6.920876495936938
BILBAO - UGAO MIRABALLES - OROZKO,4484.896491816892,5441.713728567066,10.477016489696505
BILBAO - UPV/EHU (Enekuri),1138.6639439523735,1550.1065862673522,15.329027074316107
BILBAO-Aireportua/Aeropuerto,11328.53694014698,13249.326425409632,9.460226046752977
BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,1475.8377763568644,1661.8339021829208,11.693026241489042
BILBAO-ERANDIO-Astrabudua-UPV/EHU,1917.9718146021705,2169.356600567513,11.0695867144189
BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),1915.058350549436,2595.8753819145045,9.197402554429164
BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),2456.5984061905856,2748.030248310665,11.761253349451737
Bizkaia Zubia/Puente Bizkaia-UPV/EHU,1464.4536471911317,1971.5778020830785,5.8770254108424975
ERANDIO-UPV/EHU,170.56583968372334,187.47636008199592,1162927853549.6687
ERMUA - DURANGO - UPV/EHU,579.6690523365108,775.1195716046955,2139258028925.3335
GALDAKAO - Metro Bolueta,3213.983171234417,4022.9998984518456,6.5644795936077065
GALDAKAO - UPV/EHU,1569.4371467230364,2040.870565617914,1986776383881.8599
GARAI - DURANGO,17.855337742176896,18.4845239693768,37.16696595749073
GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,637.0745735866391,818.1801536735928,12.516261600240847
GERNIKA LUMO - ERRIGOITI,587.913630028558,942.6840251110766,70.00020360971295
GERNIKA LUMO - MENDATA,442.22564295157247,675.7033539895709,97.61915530260168
GERNIKA LUMO - NABARNIZ,922.3679810467887,1457.3163191234687,115.68520735819521
Gallarta - SANTURTZI,2999.0537418265885,4050.5358760491176,4.874523846599774
Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,1844.7607788838734,3593.9631269986694,3.527099686903904
Gurutzeta/Cruces-BARAKALDO-La Arena,1076.3439218108808,2593.989907304334,1879472469735.7014
LANESTOSA - BALMASEDA,479.477995884034,549.7956476036331,9.965892097627883
LEKEITIO - AMOROTO,141.75997579572473,157.92822124583685,9507678855515.227
LEKEITIO - MENDEXA,87.8588080347455,103.22737255658326,6317169480043.496
LEKEITIO-Barainka,11.223656633169762,13.195905288390847,443632777717.0485
Lutxana - Gurutzeta/Cruces - SANTURTZI,8084.740217853166,12069.560717017204,6.023084550317903
MUNGIA - GAMIZ - FIKA,69.9482747130415,95.06817624204895,7.850661809387262
MUNGIA - GERNIKA LUMO - IBARRANGELU,1753.2627620513515,2857.1372487090907,14.803108402081635
MUNGIA - MEÃAKA - ARRIETA,262.2369378370165,277.41804225097786,35.341574308319544
MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,727.4985531471995,1076.6165698772495,4200100679157.4854
MUSKIZ - BARAKALDO - Areeta/Las Arenas,5878.82856776187,7532.653724409856,8.863342252666367
MUSKIZ - ZIERBENA - SESTAO,2913.765230999806,3606.03689368868,10.369316660497548
Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,4027.483901122277,5870.529712170857,6.540649002488852
PLENTZIA-GORLIZ-MUNGIA,1137.6742441956776,1375.7176683896341,12.436517256155101
PORTUGALETE - GALDAMES,216.63157504019554,259.4134812542298,4.023188274229369
PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,3366.703895193477,4568.9503991254005,10.371302542272437
SANTURTZI - BALMASEDA,408.4074742548453,536.9307900692434,4.760890812058997
SESTAO - Cabieces,5438.293797454539,7693.916074912673,8.014797586755005
SESTAO - VALLE DE TRAPAGA TRAPAGARAN,389.8983651849105,484.4035837147383,6.193258024122731
Santutxu - UPV/EHU (Autopista),1043.663479247148,1509.5827934502263,11.634733206101416
TRUCIOS TURTZIOZ - ARTZENTALES,170.46500592741305,210.23065301588858,15.809543278977085
Termibus - UPV/EHU (Autopista),5525.04246325982,7390.833120194623,14.282836972915705
UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,779.6582041872771,916.9900530981657,844934348067.2898
URIBE KOSTA - UPV/EHU,705.4261430349834,850.4502172433199,281495519210.4544
VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,1742.265005209844,2466.4922325659827,5.195389654211138
Zabalburu - UPV/EHU  (Juan de Garay),1106.7898396446146,1579.2705384501496,1020954306465.6351
