linea,mae,rmse,mape
BILBAO-Corredor Txorierri-ko Korridorea-LARRABETZU,2901.9139811197915,3798.7581705799566,12.343759415935242
BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,1224.8841145833333,1675.161001193381,10.189950504052385
BILBAO-ERANDIO-Astrabudua-UPV/EHU,1558.4444173177083,2115.359108075693,8.881949912779136
BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),2005.6181640625,2849.1021867935883,10.236505713554918
BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),2790.246826171875,4528.589070331696,13.541134638904012
Bizkaia Zubia/Puente Bizkaia-UPV/EHU,4822.880615234375,6758.558251428075,18.453887880692545
ERANDIO-UPV/EHU,627.6446838378906,1025.3213934272214,37549044799846.945
ERMUA - DURANGO - UPV/EHU,980.5556500752767,1471.0889153859182,4559143702197.883
GALDAKAO - Metro Bolueta,3541.9195963541665,4438.252009430276,7.3814228205645644
GALDAKAO - UPV/EHU,2149.359349568685,2941.6975821260376,2140430196147.969
GARAI - DURANGO,106.76947506268819,136.02355750576672,194.44897077522825
GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,870.1322123209635,1098.421709668711,12345533243827.248
GERNIKA LUMO - ERRIGOITI,586.8678029378256,813.0616304584752,289.074318238409
GERNIKA LUMO - MENDATA,409.3960741360982,529.4745031663359,214.28070843792662
GERNIKA LUMO - NABARNIZ,857.4576399061415,1185.3360633321224,236.59227749669105
Gallarta - SANTURTZI,6655.412516276042,13710.026582877807,11.231546154702826
Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,6541.703592936198,14827.853056893518,12.613744044580285
Gurutzeta/Cruces-BARAKALDO-La Arena,1178.5958766937256,1959.3174560620084,13519674492635.73
LANESTOSA - BALMASEDA,545.9912923177084,721.5114599618042,11.045970599612069
LEIOA-Hospital Urduliz Ospitalea - GATIKA -MUNGIA,2421.820597330729,4212.6526505079655,12.059607958533778
LEKEITIO - AMOROTO,280.50652742385864,402.2127187197546,20183672142150.51
LEKEITIO - MENDEXA,294.34094492594403,375.83470327828536,19109479522903.184
LEKEITIO-Barainka,179.3449306488037,235.3716681147984,10205488523547.45
Lutxana - Gurutzeta/Cruces - SANTURTZI,13652.088541666666,15538.223877675535,10.417059070961
MUNGIA - GAMIZ - FIKA,264.25160725911456,307.28273797634995,31.742300275663865
MUNGIA - GERNIKA LUMO - IBARRANGELU,2136.1311645507812,2822.198764735664,24.368469550839432
MUNGIA - MEÃAKA - ARRIETA,261.68980407714844,297.99701301293766,36.9458899552079
MUNGIA-DERIO-Gurutzeta/Cruces,1936.209716796875,2665.5478105372767,14.138703002983688
MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,519.8769092559814,859.2254886377959,707488950255.5488
MUSKIZ - BARAKALDO - Areeta/Las Arenas,6696.595540364583,10975.5136697401,10.604694295308564
MUSKIZ - ZIERBENA - SESTAO,3084.9908040364585,4676.530207534855,11.330170363031804
Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,4385.533203125,6436.492884779739,7.3313512617295356
PLENTZIA-GORLIZ-MUNGIA,1087.7810465494792,1362.1631669175667,12.135929575892774
PORTUGALETE - GALDAMES,550.582275390625,678.724103332835,10.182622110210731
PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,3807.1062825520835,5768.470698168795,12.246281303261679
SANTURTZI - BALMASEDA,854.7902018229166,1020.8992445290651,10.729776733106732
SESTAO - Cabieces,6340.441731770833,9254.212185630531,9.208802694687284
SESTAO - VALLE DE TRAPAGA TRAPAGARAN,483.0929768880208,701.3860135509555,7.922532776546791
Santutxu - UPV/EHU (Autopista),1629.3951772054036,2331.4287752932237,5031780497246.722
TRUCIOS TURTZIOZ - ARTZENTALES,287.2823893229167,340.0876292511373,22.7529874420443
Termibus - UPV/EHU (Autopista),9543.240437825521,10758.641953142556,35.24873027651611
UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,1123.504315694173,1412.0400057522832,3804949188254.5205
URIBE KOSTA - UPV/EHU,586.874080657959,793.8791032044915,770485306383.6273
VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,4603.8994547526045,8927.950868896387,14.08395537562011
Zabalburu - UPV/EHU  (Juan de Garay),2104.986557006836,2688.8190536154557,2710059102393.2437
