linea,mae,rmse,mape,aic
BILBAO - GALDAKAO (Autopista),4260.990199354461,7868.45895081812,30957960857838.508,1037.8593004943966
BILBAO - GALDAKAO - LARRABETZU,9422.01586715433,17078.832671431024,24.588229568176153,1369.7792848137688
BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),7744.666288512167,13853.129764716996,11.030483576338089,1200.340609614489
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - AULESTI - LEKEITIO,1330.7804463276962,2489.261871354269,9.290257614511335,1279.432760978954
BILBAO - Hospital Galdakao Ospitalea - GERNIKA LUMO - EA - LEKEITIO,3159.2419794102566,3653.080331166769,15.677534402230819,1488.5659766783608
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,14424.982314283558,23926.59450955605,23.1855563821035,1438.489542604826
BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ERMUA - EIBAR,10534.015963559974,19997.741956809954,17.27726924216933,1246.4543921438544
BILBAO - Hospital Galdakao Ospitalea - LEMOA - ZEANURI,8782.637500442012,15305.653759676257,20.358412719967202,1382.8659473208063
BILBAO - Hospital Santa Marina Ospitalea,3.676511319579958e-18,4.5250429603663924e-18,3.676511319579957e-07,2325120.130270156
BILBAO - LEKEITIO (Autopista),14842.291690144351,20863.393148697447,38.599228553955385,945.3031094710177
BILBAO - LEMOA - OTXANDIO - UBIDE,10008.322260953182,20547.989365579797,37.636640672944196,1249.749303857636
BILBAO - LEMOA - ZEANURI (Autopista),4370.939679468427,5984.963272828812,20.442323848437706,1524.6479874998258
BILBAO - MUNGIA (Por autopista/tik),2353.484252107368,2963.092855554612,34.24540428709606,1296.5268654649974
BILBAO - MUNGIA - BAKIO (Por la autopista/tik),3359.6808644357243,4389.794255630483,4.9272522117291855,1374.7031637587177
BILBAO - MUNGIA - BERMEO (Por la autopista/tik),91602.41666666667,92303.06079116047,99.99999999999888,2743.6726181866807
BILBAO - MUSKIZ,9010.460422040593,19618.995651152323,10.19003815733643,1384.82015284353
BILBAO - SANTURTZI,8529.202961985686,13338.708475434903,12.660379219877951,1134.8174157750739
BILBAO - SANTURTZI  - PORTUGALETE (Autopista),2718.1324018489454,5087.164233197987,11.576192398870573,1325.9014944645871
BILBAO - SESTAO - Errepelega/Repelega,2343.9045740534134,4959.311636359064,9.330597494252483,1068.3705714298264
BILBAO - Sodupe - ARTZINIEGA,2958.469693352043,3454.8069265465356,8.663068496648487,1304.0728636371462
BILBAO - Sodupe - Arespalditza Respaldiza,650.0902191616532,759.7583970704275,10.18827743624298,406.0891071936253
BILBAO - Sodupe - GORDEXOLA,882.6409522722175,1028.3402241603087,13.417651281905126,1417.6071987855785
BILBAO - UGAO MIRABALLES - OROZKO,12231.30943223307,17002.619831913173,30.337196018573948,1415.4894430712736
BILBAO - UPV/EHU (Enekuri),1235.1516116941493,1616.6700454805966,19567855448152.54,1311.9468365952498
BILBAO-Aireportua/Aeropuerto,13940.970416437718,17522.747263782916,11.339374570743095,1316.9020921393787
BILBAO-DERIO-Teknologia parkea/Parque Tecnologico,2544.2496223616695,2849.2968413413146,20.464141101365428,1539.0360860279825
BILBAO-ERANDIO-Astrabudua-UPV/EHU,2458.60910003628,3066.090907258071,13.887341641128877,1338.543514157676
BILBAO-LARRABETZU(Artxandako tunelak/Tuneles Artxanda),2113.993423394703,2880.2306594134084,10.203722699804189,1296.5676758195943
BILBAO-Teknologia Parkea/Parque Tecnologico (Artxandako tunelak/Tuneles Artxanda),3540.353823460365,4477.143357900017,18.129850275774647,1263.761326434053
Bizkaia Zubia/Puente Bizkaia-UPV/EHU,28392.333333333332,29520.945665747226,99.99999999999591,426.562674988112
ERANDIO-UPV/EHU,196.40200301565676,260.3252422261491,1443057490972.2966,1364.0544300578463
ERMUA - DURANGO - UPV/EHU,1336.0933316434514,1740.735006247844,13.007675519171274,1434.793239193327
GALDAKAO - Metro Bolueta,123899.61418489885,161045.89831661092,255.031520733893,1246.7615621543769
GALDAKAO - UPV/EHU,3117.594192541759,3996.443596082896,33.19762700666671,1219.2892311842568
GARAI - DURANGO,1467201921667548.2,1810653140140160.0,3031242747916656.5,83.89134571860636
GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,744.4076048687252,956.8006022564239,11495192407870.637,1423.100240928233
GERNIKA LUMO - ERRIGOITI,592.3374019541276,936.633447888894,100.270870506992,1478.5343034590412
GERNIKA LUMO - MENDATA,464.95747379229306,721.7838339105978,96.31838308927195,1467.096933390283
GERNIKA LUMO - NABARNIZ,930.0720152398446,1503.6023385327248,93.96333254693296,1176.3672471301538
Gallarta - SANTURTZI,6468.550723329195,15021.392466533152,10.996016980055979,1239.09820650188
Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,5888.563618988347,9621.261319479581,11.58419141720602,979.3493856670483
Gurutzeta/Cruces-BARAKALDO-La Arena,840.5813644614883,1411.734573401348,6333635626045.391,1378.3512614961485
LANESTOSA - BALMASEDA,425.0461355374768,522.9157439419687,8.405967870675928,1114.830606183153
LEKEITIO - AMOROTO,171.98131255171924,187.21916772173932,10146201613591.695,1463.1154356290408
LEKEITIO - MENDEXA,107.06444485199053,131.34759425314266,6339093903874.8545,1251.825361314913
LEKEITIO-Barainka,14.639816498759991,20.273244067919535,747023227603.418,1562.2292012827472
Lutxana - Gurutzeta/Cruces - SANTURTZI,16340.149135514459,29359.99917596869,12.887307351040805,1257.6814509307956
MUNGIA - GAMIZ - FIKA,8372026276.463563,29001547004.820984,1257060978.6788201,2289.467361240184
MUNGIA - GERNIKA LUMO - IBARRANGELU,1484.2715455611315,2067.378564565824,17.33247045615233,1594.0453765245836
MUNGIA - MEÃAKA - ARRIETA,745.1666666666666,754.7677346928215,99.99999999986223,1199.4507414406291
MUNITIBAR ARBATZEGI GERRIKAITZ - ZIORTZA BOLIBAR - MARKINA XEMEIN - ETXEBARRIA,1342.2416298741157,2153.4180778836085,8221220851794.727,1345.0777044591246
MUSKIZ - BARAKALDO - Areeta/Las Arenas,30177.04603267001,31999.4056600637,45.61081762973202,1155.1221579560395
MUSKIZ - ZIERBENA - SESTAO,3518.9225781123314,5612.896806001192,13.421148821429115,1163.4433855191016
Nerbioi Garaia/Alto Nervion - ARRIGORRIAGA - Hospital Galdakao Ospitalea,3919.985535832091,5650.503936027888,6.612729159591492,1381.4955200865338
PLENTZIA-GORLIZ-MUNGIA,9488.166666666666,9962.274372183627,99.99999999998853,10.0
PORTUGALETE - GALDAMES,238.80416412851415,323.82339643238515,4.6351440677184135,1433.9680050769502
PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,3611.7709336703465,6366.3476094631105,12.607051242996572,1402.3576212501064
SANTURTZI - BALMASEDA,560.4147512216895,670.6721963072708,6.817997831176656,1341.019738901831
SESTAO - Cabieces,7412.399314497633,13580.18603191707,11.04491380597668,1219.9840342117807
SESTAO - VALLE DE TRAPAGA TRAPAGARAN,715.1267684500739,1501.77024013197,11.721529800474704,1421.9188806121433
Santutxu - UPV/EHU (Autopista),1706.5247927425905,2713.5746045589603,10841034888139.766,1360.2690913002114
TRUCIOS TURTZIOZ - ARTZENTALES,214.91172276979538,257.20111066490693,19.429095829885778,1401.0587346941131
Termibus - UPV/EHU (Autopista),9459.682168303067,12032.068356230382,60.63854234754077,1357.3051916864579
UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,886.6082547831743,1392.7157990303488,255483846074.47916,1325.1600432825908
URIBE KOSTA - UPV/EHU,45559863194371.305,82564775391846.3,19692312390503.305,1869.1977970319904
VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,3218.0718795673474,7636.690928270987,9.963520095257374,1264.2969493243181
Zabalburu - UPV/EHU  (Juan de Garay),2029.8926895461045,2526.9459004734213,23202274650386.152,1432.8095416765204
