año,codigo_linea,linea,expediciones_anuales,dias_servicio
2022,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,12720,579
2022,A2316,SESTAO - UPV/EHU,4470,447
2022,A2318,Termibus - UPV/EHU (Autopista),37559,605
2022,A2321,Santutxu - UPV/EHU (Autopista),16746,877
2022,A2322,BILBAO - ERANDIO - Astrabudua - UPV/EHU,30264,909
2022,A2324,BILBAO - UPV/EHU (Enekuri),5364,447
2022,A2326,BARAKALDO - UPV/EHU,11409,522
2022,A2336,MUSKIZ - UPV/EHU,5145,522
2022,A2610,GALDAKAO - UPV/EHU,12378,522
2022,A2611,UGAO MIRABALLES - BASAURI - ETXEBARRI - UPV/EHU,4470,447
2022,A3115,BILBAO - SANTURTZI,86484,909
2022,A3122,BILBAO - SESTAO - Errepelega/Repelega,30516,909
2022,A3129,Lutxana - Gurutzeta/Cruces - SANTURTZI,104833,909
2022,A3135,SESTAO - Cabieces,110026,909
2022,A3136,BILBAO - BARAKALDO - SANTURTZI,73898,909
2022,A3137,BILBAO - BARAKALDO,56491,909
2022,A3141,Gurutzeta/Cruces - Bagatza - VALLE DE TRAPAGA TRAPAGARAN,52417,909
2022,A3144,BILBAO - Gurutzeta/Cruces - BARAKALDO (Ugarte),51730,750
2022,A3151,BILBAO - SANTURTZI  - PORTUGALETE (Autopista),47982,750
2022,A3223,BILBAO - LARRABETZU (Artxandako Tunelak/Tuneles Artxanda),28901,909
2022,A3224,BILBAO - DERIO - Teknologia Parkea/Parque TecnolÃ³gico,25057,909
2022,A3225,BILBAO - LAUKIZ - MUNGIA,16752,909
2022,A3247,BILBAO - Aireportua/Aeropuerto,83437,909
2022,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),19922,623
2022,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,34819,909
2022,A3323,PORTUGALETE - GALDAMES,15054,909
2022,A3331,SESTAO - VALLE DE TRAPAGA TRAPAGARAN,26982,909
2022,A3332,VALLE DE TRAPAGA TRAPAGARAN - SANTURTZI,99930,909
2022,A3333,Gallarta - SANTURTZI,93389,909
2022,A3334,SANTURTZI - BALMASEDA,13302,909
2022,A3335,MUSKIZ - ZIERBENA - SESTAO,33518,909
2022,A3336,BILBAO - MUSKIZ,56119,909
2022,A3338,MUSKIZ - BARAKALDO - Areeta/Las Arenas,50600,909
2022,A3339,Gurutzeta/Cruces-BARAKALDO-La Arena,9019,229
2022,A3340,BILBAO - ABANTO Y CIERVANA ABANTO ZIERBENA - MUSKIZ (Autopista),23244,750
2022,A3341,BILBAO - Sodupe - Arespalditza Respaldiza,11558,909
2022,A3342,BILBAO - Sodupe - ARTZINIEGA,27748,909
2022,A3343,BILBAO - Sodupe - GORDEXOLA,10591,623
2022,A3411,BILBAO - GETXO - Aizkorri,5908,90
2022,A3411,BILBAO - GETXO - Azkorri,53294,819
2022,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),66973,909
2022,A3422,Areeta/Las Arenas - BERANGO,26640,909
2022,A3451,Areeta/Las Arenas  - Armintza,29356,909
