linea,fecha,año,mes,viajeros_pred_xgb
BILBAO - BARAKALDO - SANTURTZI,2026-09-01,2026,9,139899.203125
BILBAO - BARAKALDO - SANTURTZI,2026-10-01,2026,10,132733.59375
BILBAO - BARAKALDO - SANTURTZI,2026-11-01,2026,11,132944.1875
BILBAO - BARAKALDO - SANTURTZI,2026-12-01,2026,12,135628.453125
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-01-01,2026,1,8037.99609375
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-02-01,2026,2,14125.8671875
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-03-01,2026,3,14612.17578125
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-04-01,2026,4,15760.7783203125
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-05-01,2026,5,16284.6240234375
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-06-01,2026,6,16025.29296875
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-07-01,2026,7,15598.453125
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-08-01,2026,8,13646.0654296875
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-09-01,2026,9,16866.390625
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-10-01,2026,10,17031.4375
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-11-01,2026,11,16168.736328125
BILBAO - BASAURI - Artunduaga - San Miguel -ZARATAMO,2026-12-01,2026,12,16211.8408203125
BILBAO - DERIO - MUNGIA,2026-01-01,2026,1,21090.822265625
BILBAO - DERIO - MUNGIA,2026-02-01,2026,2,59690.1484375
BILBAO - DERIO - MUNGIA,2026-03-01,2026,3,60612.109375
BILBAO - DERIO - MUNGIA,2026-04-01,2026,4,62765.1640625
BILBAO - DERIO - MUNGIA,2026-05-01,2026,5,65106.55859375
BILBAO - DERIO - MUNGIA,2026-06-01,2026,6,79099.5078125
BILBAO - DERIO - MUNGIA,2026-07-01,2026,7,84774.2734375
BILBAO - DERIO - MUNGIA,2026-08-01,2026,8,79584.453125
BILBAO - DERIO - MUNGIA,2026-09-01,2026,9,72344.96875
BILBAO - DERIO - MUNGIA,2026-10-01,2026,10,69281.34375
BILBAO - DERIO - MUNGIA,2026-11-01,2026,11,62158.0234375
BILBAO - DERIO - MUNGIA,2026-12-01,2026,12,53367.75390625
BILBAO - DURANGO (Autopista),2026-01-01,2026,1,24321.328125
BILBAO - DURANGO (Autopista),2026-02-01,2026,2,38864.96875
BILBAO - DURANGO (Autopista),2026-03-01,2026,3,46718.8359375
BILBAO - DURANGO (Autopista),2026-04-01,2026,4,47564.23046875
BILBAO - DURANGO (Autopista),2026-05-01,2026,5,48192.33984375
BILBAO - DURANGO (Autopista),2026-06-01,2026,6,43396.33203125
BILBAO - DURANGO (Autopista),2026-07-01,2026,7,39653.625
BILBAO - DURANGO (Autopista),2026-08-01,2026,8,31459.900390625
BILBAO - DURANGO (Autopista),2026-09-01,2026,9,45552.16796875
BILBAO - DURANGO (Autopista),2026-10-01,2026,10,52609.44140625
BILBAO - DURANGO (Autopista),2026-11-01,2026,11,51882.484375
BILBAO - DURANGO (Autopista),2026-12-01,2026,12,52200.21484375
BILBAO - DURANGO - ELORRIO (Autopista),2026-01-01,2026,1,53381.171875
BILBAO - DURANGO - ELORRIO (Autopista),2026-02-01,2026,2,58878.140625
BILBAO - DURANGO - ELORRIO (Autopista),2026-03-01,2026,3,70600.9375
BILBAO - DURANGO - ELORRIO (Autopista),2026-04-01,2026,4,69614.2578125
BILBAO - DURANGO - ELORRIO (Autopista),2026-05-01,2026,5,70002.4296875
BILBAO - DURANGO - ELORRIO (Autopista),2026-06-01,2026,6,61306.0546875
BILBAO - DURANGO - ELORRIO (Autopista),2026-07-01,2026,7,58066.19921875
BILBAO - DURANGO - ELORRIO (Autopista),2026-08-01,2026,8,53264.53125
BILBAO - DURANGO - ELORRIO (Autopista),2026-09-01,2026,9,72635.6328125
BILBAO - DURANGO - ELORRIO (Autopista),2026-10-01,2026,10,75809.421875
BILBAO - DURANGO - ELORRIO (Autopista),2026-11-01,2026,11,71436.3515625
BILBAO - DURANGO - ELORRIO (Autopista),2026-12-01,2026,12,73545.8359375
BILBAO - DURANGO - ONDARROA (Autopista),2026-01-01,2026,1,15856.9951171875
BILBAO - DURANGO - ONDARROA (Autopista),2026-02-01,2026,2,55908.31640625
BILBAO - DURANGO - ONDARROA (Autopista),2026-03-01,2026,3,59760.3359375
BILBAO - DURANGO - ONDARROA (Autopista),2026-04-01,2026,4,63740.49609375
BILBAO - DURANGO - ONDARROA (Autopista),2026-05-01,2026,5,71940.7734375
BILBAO - DURANGO - ONDARROA (Autopista),2026-06-01,2026,6,72034.734375
BILBAO - DURANGO - ONDARROA (Autopista),2026-07-01,2026,7,68269.4453125
BILBAO - DURANGO - ONDARROA (Autopista),2026-08-01,2026,8,61696.54296875
BILBAO - DURANGO - ONDARROA (Autopista),2026-09-01,2026,9,68034.2109375
BILBAO - DURANGO - ONDARROA (Autopista),2026-10-01,2026,10,71111.203125
BILBAO - DURANGO - ONDARROA (Autopista),2026-11-01,2026,11,66359.78125
BILBAO - DURANGO - ONDARROA (Autopista),2026-12-01,2026,12,63997.8984375
BILBAO - ERMUA - EIBAR (Autopista),2026-01-01,2026,1,18369.2421875
BILBAO - ERMUA - EIBAR (Autopista),2026-02-01,2026,2,35571.62890625
BILBAO - ERMUA - EIBAR (Autopista),2026-03-01,2026,3,41278.421875
BILBAO - ERMUA - EIBAR (Autopista),2026-04-01,2026,4,43036.66796875
BILBAO - ERMUA - EIBAR (Autopista),2026-05-01,2026,5,43085.5625
BILBAO - ERMUA - EIBAR (Autopista),2026-06-01,2026,6,38937.046875
BILBAO - ERMUA - EIBAR (Autopista),2026-07-01,2026,7,37891.94140625
BILBAO - ERMUA - EIBAR (Autopista),2026-08-01,2026,8,31996.830078125
BILBAO - ERMUA - EIBAR (Autopista),2026-09-01,2026,9,41669.67578125
BILBAO - ERMUA - EIBAR (Autopista),2026-10-01,2026,10,45162.6953125
BILBAO - ERMUA - EIBAR (Autopista),2026-11-01,2026,11,46052.59765625
