linea,fecha,año,mes,viajeros_pred
BILBAO - DURANGO - ELORRIO (Autopista),2026-11-01,2026,11,80545.76418507591
BILBAO - DURANGO - ELORRIO (Autopista),2026-12-01,2026,12,78854.76016171572
BILBAO - DURANGO - ONDARROA (Autopista),2026-01-01,2026,1,52075.9041029888
BILBAO - DURANGO - ONDARROA (Autopista),2026-02-01,2026,2,56361.19490861863
BILBAO - DURANGO - ONDARROA (Autopista),2026-03-01,2026,3,66024.33947600228
BILBAO - DURANGO - ONDARROA (Autopista),2026-04-01,2026,4,62194.49191401454
BILBAO - DURANGO - ONDARROA (Autopista),2026-05-01,2026,5,72933.18743374258
BILBAO - DURANGO - ONDARROA (Autopista),2026-06-01,2026,6,73314.95939876145
BILBAO - DURANGO - ONDARROA (Autopista),2026-07-01,2026,7,70888.50917359044
BILBAO - DURANGO - ONDARROA (Autopista),2026-08-01,2026,8,65137.93967520308
BILBAO - DURANGO - ONDARROA (Autopista),2026-09-01,2026,9,76640.99968479472
BILBAO - DURANGO - ONDARROA (Autopista),2026-10-01,2026,10,80639.54715055208
BILBAO - DURANGO - ONDARROA (Autopista),2026-11-01,2026,11,75329.05437528793
BILBAO - DURANGO - ONDARROA (Autopista),2026-12-01,2026,12,73425.70357333099
BILBAO - ERMUA - EIBAR (Autopista),2026-01-01,2026,1,38247.17510841789
BILBAO - ERMUA - EIBAR (Autopista),2026-02-01,2026,2,41314.28021322383
BILBAO - ERMUA - EIBAR (Autopista),2026-03-01,2026,3,47282.27820041605
BILBAO - ERMUA - EIBAR (Autopista),2026-04-01,2026,4,39309.73752955113
BILBAO - ERMUA - EIBAR (Autopista),2026-05-01,2026,5,42708.47976122245
BILBAO - ERMUA - EIBAR (Autopista),2026-06-01,2026,6,43303.3744995346
BILBAO - ERMUA - EIBAR (Autopista),2026-07-01,2026,7,40872.28692245397
BILBAO - ERMUA - EIBAR (Autopista),2026-08-01,2026,8,32847.1568240894
BILBAO - ERMUA - EIBAR (Autopista),2026-09-01,2026,9,47326.31498900093
BILBAO - ERMUA - EIBAR (Autopista),2026-10-01,2026,10,53169.9235831901
BILBAO - ERMUA - EIBAR (Autopista),2026-11-01,2026,11,52566.08318657823
BILBAO - ERMUA - EIBAR (Autopista),2026-12-01,2026,12,51482.83854464053
BILBAO - ERMUA - ONDARROA (Autopista),2026-01-01,2026,1,33958.024594528884
BILBAO - ERMUA - ONDARROA (Autopista),2026-02-01,2026,2,37576.88250315371
BILBAO - ERMUA - ONDARROA (Autopista),2026-03-01,2026,3,44951.22999798265
BILBAO - ERMUA - ONDARROA (Autopista),2026-04-01,2026,4,42173.01352759792
BILBAO - ERMUA - ONDARROA (Autopista),2026-05-01,2026,5,49841.02763981807
BILBAO - ERMUA - ONDARROA (Autopista),2026-06-01,2026,6,48906.61212421211
BILBAO - ERMUA - ONDARROA (Autopista),2026-07-01,2026,7,48722.73253674136
BILBAO - ERMUA - ONDARROA (Autopista),2026-08-01,2026,8,41402.02470280782
BILBAO - ERMUA - ONDARROA (Autopista),2026-09-01,2026,9,53063.23529274135
BILBAO - ERMUA - ONDARROA (Autopista),2026-10-01,2026,10,56784.274293697374
BILBAO - ERMUA - ONDARROA (Autopista),2026-11-01,2026,11,52901.84634400615
BILBAO - ERMUA - ONDARROA (Autopista),2026-12-01,2026,12,49598.76281456327
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-01-01,2026,1,7569.858799762786
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-02-01,2026,2,7541.519031847866
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-03-01,2026,3,9340.0693670274
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-04-01,2026,4,8435.673951370192
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-05-01,2026,5,9567.631099174445
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-06-01,2026,6,10258.987091708936
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-07-01,2026,7,9311.328815458715
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-08-01,2026,8,8086.6285759408065
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-09-01,2026,9,10022.133493083438
BILBAO - ETXEBARRI - BASAURI - San Miguel (BegoÃ±a),2026-10-01,2026,10,10753.292262070325
